Временная метка	Тип руды	Количество	Количество отходов	Объем	Объем отходов	Примерная цена	Примерная цена отходов	Звёздная система	Идентификатор типа руды	Идентификатор звёздной системы
2023.05.25	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	298	149	11920.0	5960.0	12653994	6326997	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.26	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	514	149	20560.0	5960.0	21826017	6326997	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.26	<localized hint="Mercoxit">Mercoxit*</localized>	718	147	28720.0	5880.0	26844390	5495996	<localized hint="VE-W7O">VE-W7O*</localized>	11396	30001824
2023.05.26	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	7079	2814	283160.0	112560.0	259570648	103182907	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.27	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	294	98	11760.0	3920.0	12484142	4161380	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.27	<localized hint="Mercoxit">Mercoxit*</localized>	360	100	14400.0	4000.0	13459582	3738773	<localized hint="VE-W7O">VE-W7O*</localized>	11396	30001824
2023.05.27	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	1026	196	41040.0	7840.0	37621060	7186869	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.29	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	3581	1314	143240.0	52560.0	152060253	55796473	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.29	<localized hint="Mercoxit">Mercoxit*</localized>	867	407	34680.0	16280.0	32415161	15216806	<localized hint="VE-W7O">VE-W7O*</localized>	11396	30001824
2023.05.29	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	9098	3434	363920.0	137360.0	333602734	125916881	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.31	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	1168	688	46720.0	27520.0	49596865	29214592	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
