Временная метка	Тип руды	Количество	Количество отходов	Объем	Объем отходов	Примерная цена	Примерная цена отходов	Звёздная система	Идентификатор типа руды	Идентификатор звёздной системы
2023.05.19	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	1690	790	67600.0	31600.0	61968412	28967482	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.20	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	7322	2626	292880.0	105040.0	310914598	111508021	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.20	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	2778	907	111120.0	36280.0	101862870	33257603	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.21	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	7438	2864	297520.0	114560.0	272734352	105016292	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.22	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	947	480	37880.0	19200.0	34724311	17600496	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.23	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	1158	424	46320.0	16960.0	49172235	18004341	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.23	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	1433	760	57320.0	30400.0	52544814	27867451	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.26	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	1250	541	50000.0	21640.0	53078837	22972520	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.26	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	1017	460	40680.0	18400.0	37291050	16867142	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.29	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	1829	500	73160.0	20000.0	77664955	21231535	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.29	<localized hint="Mercoxit">Mercoxit*</localized>	500	150	20000.0	6000.0	18693865	5608159	<localized hint="VE-W7O">VE-W7O*</localized>	11396	30001824
2023.05.29	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	3154	993	126160.0	39720.0	115649925	36411026	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.30	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	2091	682	83640.0	27280.0	88790279	28959813	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.30	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	2309	928	92360.0	37120.0	84665719	34027625	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
