Временная метка	Тип руды	Количество	Количество отходов	Объем	Объем отходов	Примерная цена	Примерная цена отходов	Звёздная система	Идентификатор типа руды	Идентификатор звёздной системы
2023.05.23	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit</localized>	7611	2744	304440.0	109760.0	279077864	100616168	<localized hint="VE-W7O">VE-W7O</localized>	17870	30001824
2023.05.24	<localized hint="Magma Mercoxit">Magma Mercoxit</localized>	1107	404	44280.0	16160.0	47006618	17155080	<localized hint="VE-W7O">VE-W7O</localized>	17869	30001824
2023.05.24	<localized hint="Mercoxit">Mercoxit</localized>	621	196	24840.0	7840.0	23217780	7327995	<localized hint="VE-W7O">VE-W7O</localized>	11396	30001824
2023.05.24	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit</localized>	2647	1029	105880.0	41160.0	97059401	37731063	<localized hint="VE-W7O">VE-W7O</localized>	17870	30001824
2023.05.26	<localized hint="Magma Mercoxit">Magma Mercoxit</localized>	1740	821	69600.0	32840.0	73885741	34862180	<localized hint="VE-W7O">VE-W7O</localized>	17869	30001824
2023.05.26	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit</localized>	2660	1100	106400.0	44000.0	97536081	40334470	<localized hint="VE-W7O">VE-W7O</localized>	17870	30001824
2023.05.27	<localized hint="Magma Mercoxit">Magma Mercoxit</localized>	2745	999	109800.0	39960.0	116561127	42420606	<localized hint="VE-W7O">VE-W7O</localized>	17869	30001824
2023.05.27	<localized hint="Mercoxit">Mercoxit</localized>	294	98	11760.0	3920.0	10991992	3663997	<localized hint="VE-W7O">VE-W7O</localized>	11396	30001824
2023.05.27	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit</localized>	2689	1225	107560.0	49000.0	98599445	44917932	<localized hint="VE-W7O">VE-W7O</localized>	17870	30001824
2023.05.29	<localized hint="Magma Mercoxit">Magma Mercoxit</localized>	214	107	8560.0	4280.0	9087096	4543548	<localized hint="VE-W7O">VE-W7O</localized>	17869	30001824
2023.05.29	<localized hint="Mercoxit">Mercoxit</localized>	98	49	3920.0	1960.0	3663997	1831998	<localized hint="VE-W7O">VE-W7O</localized>	11396	30001824
2023.05.29	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit</localized>	637	203	25480.0	8120.0	23357324	7443543	<localized hint="VE-W7O">VE-W7O</localized>	17870	30001824
